items_number
200
stocks_number
1
digit
2
items
68.41	68	41	69.78	69	78	5
51.22	51	22	47.28	47	28	3
96.59	96	59	90.81	90	81	5
91.26	91	26	89.34	89	34	5
52.04	52	4	59.98	59	98	5
67.43	67	43	77.72	77	72	3
95.32	95	32	90.45	90	45	4
90.16	90	16	89.93	89	93	2
67.65	67	65	73.73	73	73	2
50.97	50	97	57.1	57	10	5
79.06	79	6	75.58	75	58	4
88.96	88	96	79.41	79	41	5
72.28	72	28	70.66	70	66	1
83.52	83	52	87.23	87	23	3
85	85	0	85.43	85	43	5
75.95	75	95	65.07	65	7	4
77.17	77	17	79.15	79	15	4
94.44	94	44	92.22	92	22	4
88.67	88	67	86.22	86	22	1
61.86	61	86	67.22	67	22	5
90.23	90	23	96.39	96	39	4
51.56	51	56	43.06	43	6	2
95.1	95	10	95.69	95	69	1
61.07	61	7	58.52	58	52	4
70.25	70	25	66.39	66	39	1
83.81	83	81	90.22	90	22	3
96.55	96	55	86.24	86	24	3
78.74	78	74	69.12	69	12	3
91.32	91	32	89.04	89	4	2
65.33	65	33	74.07	74	7	3
69.26	69	26	77.08	77	8	1
84.26	84	26	93.82	93	82	3
67.55	67	55	61.32	61	32	2
64.38	64	38	74.86	74	86	2
74.52	74	52	68.16	68	16	4
69.11	69	11	60.31	60	31	3
81.33	81	33	89.56	89	56	2
93.84	93	84	92.58	92	58	2
58.27	58	27	56.22	56	22	1
72.98	72	98	75.3	75	30	3
94.33	94	33	88.67	88	67	3
61.34	61	34	63.79	63	79	4
84.47	84	47	87.68	87	68	2
65.61	65	61	65.31	65	31	3
68.86	68	86	61.02	61	2	3
93.47	93	47	85.11	85	11	3
65.08	65	8	63.38	63	38	1
69.55	69	55	74.16	74	16	1
87.92	87	92	86.3	86	30	1
52.75	52	75	56.59	56	59	4
81.94	81	94	80.35	80	35	2
76.15	76	15	68.66	68	66	5
79.31	79	31	85.64	85	64	2
100.04	100	4	109.05	109	5	3
61.74	61	74	58.16	58	16	5
73.09	73	9	83.01	83	1	2
56.37	56	37	59.24	59	24	5
81.29	81	29	78.4	78	40	2
75.83	75	83	84.12	84	12	1
97.21	97	21	87.27	87	27	3
97.62	97	62	93.46	93	46	1
94.1	94	10	98.18	98	18	3
54.47	54	47	61.07	61	7	5
63.7	63	70	61.78	61	78	4
82	82	0	86.04	86	4	5
53.51	53	51	62.22	62	22	1
56.81	56	81	53.07	53	7	1
87.33	87	33	86.6	86	60	3
96.87	96	87	92.77	92	77	2
64.09	64	9	67.26	67	26	1
58.83	58	83	49.87	49	87	5
89.2	89	20	89.45	89	45	2
100.95	100	95	93.03	93	3	2
93.3	93	30	97.53	97	53	4
79.34	79	34	89.73	89	73	4
68.33	68	33	64.02	64	2	4
85.78	85	78	90.61	90	61	1
68.42	68	42	63.11	63	11	2
